event_id,date,hour,lat,lon,area_ha,y_gt10ha,y_gt100ha,comuna,region,temporada,split
1303,2014-11-08,16,-35.42361,-71.70472,0.03,0,0,Talca,Maule,2014 al 2015,train
1304,2014-11-08,17,-35.89028,-72.38167,0.05,0,0,Cauquenes,Maule,2014 al 2015,train
1305,2014-11-10,16,-35.46722,-71.65722,0.4,0,0,Maule,Maule,2014 al 2015,train
1306,2014-11-12,11,-35.43611,-71.70083,0.01,0,0,Talca,Maule,2014 al 2015,train
1307,2014-11-12,9,-36.16444,-71.17528,0.01,0,0,Longaví,Maule,2014 al 2015,train
1308,2014-11-12,15,-35.04528,-71.68139,0.6,0,0,Hualañé,Maule,2014 al 2015,train
1309,2014-11-13,17,-35.56583,-71.72194,1.5,0,0,San Javier,Maule,2014 al 2015,train
1310,2014-11-16,0,-35.41278,-71.67528,0.03,0,0,Talca,Maule,2014 al 2015,train
1311,2014-11-16,9,-35.37972,-71.64778,0.6,0,0,Talca,Maule,2014 al 2015,train
1312,2014-11-16,17,-35.72222,-71.18583,0.3,0,0,San Clemente,Maule,2014 al 2015,train
1313,2014-11-18,17,-35.43778,-71.7,0.3,0,0,Talca,Maule,2014 al 2015,train
1314,2014-11-19,18,-35.43667,-71.70361,1.0,0,0,Talca,Maule,2014 al 2015,train
1315,2014-11-20,15,-35.46111,-71.65639,1.0,0,0,Maule,Maule,2014 al 2015,train
1316,2014-11-20,16,-34.96639,-71.15639,3.0,0,0,Curicó,Maule,2014 al 2015,train
1317,2014-11-20,21,-35.43361,-71.69028,1.0,0,0,Talca,Maule,2014 al 2015,train
1318,2014-11-21,12,-35.11861,-70.87389,0.02,0,0,Romeral,Maule,2014 al 2015,train
1319,2014-11-22,15,-35.29167,-71.83056,1.0,0,0,Pencahue,Maule,2014 al 2015,train
1320,2014-11-23,14,-35.42583,-71.68,0.1,0,0,Talca,Maule,2014 al 2015,train
1321,2014-11-23,15,-35.4575,-71.71083,0.2,0,0,Maule,Maule,2014 al 2015,train
1322,2014-11-23,17,-35.42583,-71.68,0.2,0,0,Talca,Maule,2014 al 2015,train
1323,2014-11-24,19,-35.51639,-71.69972,0.3,0,0,Maule,Maule,2014 al 2015,train
1324,2014-11-25,14,-35.855,-71.64056,0.5,0,0,Linares,Maule,2014 al 2015,train
1325,2014-11-25,15,-35.77889,-71.75306,4.0,0,0,Linares,Maule,2014 al 2015,train
1326,2014-11-25,18,-35.36083,-71.61417,0.4,0,0,Talca,Maule,2014 al 2015,train
1327,2014-11-25,19,-35.32083,-71.6475,0.3,0,0,Talca,Maule,2014 al 2015,train
1328,2014-11-27,14,-35.45056,-71.65083,0.2,0,0,Talca,Maule,2014 al 2015,train
1329,2014-11-27,15,-35.26667,-71.26361,0.02,0,0,Río Claro,Maule,2014 al 2015,train
1330,2014-11-27,16,-35.20417,-71.225,0.3,0,0,Río Claro,Maule,2014 al 2015,train
1331,2014-11-28,17,-35.13028,-71.19167,0.8,0,0,Molina,Maule,2014 al 2015,train
1332,2014-11-30,16,-36.17222,-71.77278,5.0,0,0,Retiro,Maule,2014 al 2015,train
1333,2014-12-02,11,-34.96694,-71.13667,0.1,0,0,Romeral,Maule,2014 al 2015,train
1334,2014-12-02,12,-35.39194,-71.64611,1.3,0,0,Talca,Maule,2014 al 2015,train
1335,2014-12-02,14,-36.00194,-72.29278,0.03,0,0,Cauquenes,Maule,2014 al 2015,train
1336,2014-12-02,17,-34.9725,-71.79528,0.2,0,0,Hualañé,Maule,2014 al 2015,train
1337,2014-12-03,10,-35.56111,-71.675,0.5,0,0,San Javier,Maule,2014 al 2015,train
1338,2014-12-03,16,-35.86389,-71.61639,1.2,0,0,Linares,Maule,2014 al 2015,train
1339,2014-12-03,17,-35.38944,-71.63778,0.6,0,0,Talca,Maule,2014 al 2015,train
1340,2014-12-04,13,-34.97139,-71.21389,2.0,0,0,Curicó,Maule,2014 al 2015,train
1341,2014-12-04,16,-35.36,-71.97111,0.1,0,0,Pencahue,Maule,2014 al 2015,train
1342,2014-12-04,16,-35.56444,-71.61139,0.3,0,0,Maule,Maule,2014 al 2015,train
1343,2014-12-04,17,-34.98167,-71.21861,0.3,0,0,Curicó,Maule,2014 al 2015,train
1344,2014-12-04,18,-35.88167,-72.17472,0.01,0,0,Cauquenes,Maule,2014 al 2015,train
1345,2014-12-04,21,-35.42111,-71.69667,0.01,0,0,Talca,Maule,2014 al 2015,train
1346,2014-12-06,13,-35.52972,-71.68861,0.5,0,0,Maule,Maule,2014 al 2015,train
1347,2014-12-06,15,-35.00472,-71.25083,2.5,0,0,Curicó,Maule,2014 al 2015,train
1348,2014-12-06,18,-35.39889,-71.64333,0.4,0,0,Talca,Maule,2014 al 2015,train
